Course Code,Credit,Section,Faculty,Days,Time,Room,Seat
BBT314L,1.0,3,MAKN,T,02:40 PM - 05:40 PM,SAC414,20
BBT314L,1.0,5,MAKN,W,11:20 AM - 02:20 PM,SAC414,20
BBT315,3.0,1,SMDA,ST,04:20 PM - 05:50 PM,SAC407,40
BBT315,3.0,3,SMDA,MW,02:40 PM - 04:10 PM,SAC407,40
BBT316,3.0,1,KNH,MW,09:40 AM - 11:10 AM,SAC404,40
BBT316,3.0,3,KNH,MW,02:40 PM - 04:10 PM,SAC404,40
BBT316L,1.0,2,NRO,R,02:40 PM - 05:40 PM,SAC414_V,20
BBT316L,1.0,4,NRO,R,11:20 AM - 02:20 PM,SAC414_V,20
BBT317,3.0,2,SDL,MW,11:20 AM - 12:50 PM,SAC402,40
BBT317,3.0,4,MSH3,MW,08:00 AM - 09:30 AM,SAC404,40
BBT318,3.0,2,SDL,ST,02:40 PM - 04:10 PM,SAC402,40
BBT318,3.0,4,MALM,ST,08:00 AM - 09:30 AM,SAC401,40
BBT335,3.0,2,IJN,ST,04:20 PM - 05:50 PM,SAC406,40
BBT413,3.0,1,CAK,ST,09:40 AM - 11:10 AM,SAC404,40
BBT413,3.0,3,CAK,ST,02:40 PM - 04:10 PM,SAC403,40
BBT413L,1.0,2,THN,T,08:00 AM - 11:00 AM,SAC412_V,20
BBT415,3.0,2,CAK,MW,11:20 AM - 12:50 PM,SAC401,40
BBT415L,1.0,2,TSHQ,W,02:40 PM - 05:40 PM,SAC412_V,20
BBT416,3.0,2,MQN,ST,02:40 PM - 04:10 PM,LIB601,40
BBT417,3.0,1,IJN,MW,09:40 AM - 11:10 AM,SAC407,40
BBT418,3.0,1,CAK,MW,02:40 PM - 04:10 PM,SAC406,40
BBT423,3.0,1,MALM,ST,02:40 PM - 04:10 PM,OAT601,40
BBT424,3.0,2,SMDA,MW,09:40 AM - 11:10 AM,SAC316,40
BBT601,3.0,1,IQM,R,07:00 PM - 10:10 PM,SAC404,40
